;;;Csatlakozók / töltési módok;;;;;;;;Töltőpont címe;;;;
Töltőpont neve;Gyártó;Típus;Teljesítmény (Type 2);Darab (Type 2);Teljesítmény (CCS);Darab (CCS);Teljesítmény (CHAdeMO);Darab (CHAdeMO);Kapacitás;Szolgáltatás díja (bruttó);Irányító szám;Település;Cím;Mobiliti azonosító;GPS koordináták
Budapest - Virányos út 46.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1125;Budapest;Virányos út 46.       ;13063;47.515797,18.992192
Budapest - Csipke út 1a       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1125;Budapest;Csipke út 1a       ;13064;47.507125,18.987692
Budapest - Szarvas Gábor út 59.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1125;Budapest;Szarvas Gábor út 59.      ;13065;47.516882,18.985772
Budapest - Tahi utca 102.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1131;Budapest;Tahi utca 102.       ;13066;47.537042,19.0895
Budapest - Szabolcs utca 6.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1134;Budapest;Szabolcs utca 6.       ;13067;47.51701,19.066263
Budapest - Petneházy utca 77a       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1135;Budapest;Petneházy utca 77a       ;13068;47.531445,19.086317
Budapest - Szobor utca 2.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1138;Budapest;Szobor utca 2.       ;13069;47.551557,19.074972
Budapest - Váci út 132a       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1138;Budapest;Váci út 132a       ;13070;47.534673,19.066608
Budapest - Bessenyei utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1139;Budapest;Bessenyei utca        ;13071;47.522588,19.057232
Budapest - Mogyoródi út 137.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1141;Budapest;Mogyoródi út 137.       ;13072;47.518922,19.132882
Budapest - Vezér utca 36.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1144;Budapest;Vezér utca 36.       ;13073;47.509852,19.142928
Budapest - Róna utca 189.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1145;Budapest;Róna utca 189.       ;13074;47.520277,19.103018
Budapest - Lőcsei út 40.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1147;Budapest;Lőcsei út 40.       ;13075;47.520425,19.11403
Budapest - Pillangó park 3-5.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1149;Budapest;Pillangó park 3-5.       ;13076;47.50354,19.122015
Budapest - Eötvös utca 61.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1153;Budapest;Eötvös utca 61.       ;13077;47.557303,19.113393
Budapest - Bácska utca 4.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1153;Budapest;Bácska utca 4.       ;13078;47.563117,19.117687
Budapest - Kontyfa utca 1.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1156;Budapest;Kontyfa utca 1.       ;13079;47.54662,19.139012
Budapest - Zsókavár utca 10.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1157;Budapest;Zsókavár utca 10.       ;13080;47.542308,19.142792
Budapest - Adria utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1158;Budapest;Adria utca        ;13081;47.534847,19.134003
Budapest - Zöldséges utca 11.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1162;Budapest;Zöldséges utca 11.       ;13082;47.530807,19.1995
Budapest - Segesvár utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1162;Budapest;Segesvár utca        ;13083;47.530746,19.168188
Budapest - Havashalom utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1163;Budapest;Havashalom utca        ;13084;47.515274,19.170162
Budapest - Szabadföld út 73.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1164;Budapest;Szabadföld út 73.       ;13085;47.530433,19.236085
Budapest - Bökényföldi út 25.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1165;Budapest;Bökényföldi út 25.       ;13086;47.510205,19.205853
Budapest - Hegyalatti utca 2.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1171;Budapest;Hegyalatti utca 2.       ;13087;47.469086,19.292842
Budapest - Szent Imre utca 62-64.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1172;Budapest;Szent Imre utca 62-64.      ;13088;47.491763,19.28271
Budapest - Pesti út 22a       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1172;Budapest;Pesti út 22a       ;13089;47.483987,19.236577
Budapest - 525. tér        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1172;Budapest;525. tér        ;13090;47.481573,19.218375
Budapest - Pesti út 113.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1173;Budapest;Pesti út 113.       ;13091;47.48078,19.246545
Budapest - Bányapart utca 24.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1174;Budapest;Bányapart utca 24.       ;13092;47.471287,19.238991
Budapest - Margó Tivadar (Bókay kert bejárat) utca    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1181;Budapest;Margó Tivadar (Bókay kert bejárat) utca    ;13093;47.433947,19.176862
Budapest - Nefelejcs utca 89.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1183;Budapest;Nefelejcs utca 89.       ;13094;47.447208,19.190732
Budapest - Gulner Gyula utca 1-5.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1183;Budapest;Gulner Gyula utca 1-5.      ;13095;47.440062,19.189797
Budapest - Kisfaludy utca 33c       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1188;Budapest;Kisfaludy utca 33c       ;13096;47.409772,19.192167
Budapest - Vak Bottyán utca 31.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1191;Budapest;Vak Bottyán utca 31.      ;13097;47.461917,19.146302
Budapest - Batthyány utca 42.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1191;Budapest;Batthyány utca 42.       ;13098;47.453188,19.143955
Budapest - Corvin krt. 7-13.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1191;Budapest;Corvin krt. 7-13.       ;13099;47.460887,19.133143
Budapest - Kossuth tér 8.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1191;Budapest;Kossuth tér 8.       ;13100;47.459028,19.145448
Budapest - Pannónia utca 2.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1192;Budapest;Pannónia utca 2.       ;13101;47.463153,19.127053
Budapest - Topánka utca - Baross utca sarok    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1203;Budapest;Topánka utca - Baross utca sarok    ;13102;47.436952,19.097477
Budapest - Orsolya utca 60.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1204;Budapest;Orsolya utca 60.       ;13103;47.429235,19.127263
Budapest - Petz Ferenc utca ( Csepel pláza parkoló)  ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1211;Budapest;Petz Ferenc utca ( Csepel pláza parkoló)  ;13104;47.423903,19.068377
Budapest - Akácfa utca 23.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1212;Budapest;Akácfa utca 23.       ;13105;47.412845,19.062188
Budapest - Hollandi út 8.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1213;Budapest;Hollandi út 8.       ;13106;47.412737,19.097343
Budapest - Dunadűlő út 5.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1214;Budapest;Dunadűlő út 5.       ;13107;47.423988,19.088901
Budapest - Városház tér 4b       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1221;Budapest;Városház tér 4b       ;13108;47.427488,19.03966
Budapest - Promontor utca 89.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1222;Budapest;Promontor utca 89.       ;13109;47.42132,19.029403
Budapest - Tűzliliom utca 39.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1223;Budapest;Tűzliliom utca 39.       ;13110;47.406197,19.008125
Budapest - Szentháromság utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1225;Budapest;Szentháromság utca        ;13111;47.392997,18.986417
Budapest - Nagytétényi út 31-33.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1225;Budapest;Nagytétényi út 31-33.       ;13112;47.408988,19.020685
Budapest - Ördögszekér utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1237;Budapest;Ördögszekér utca        ;13113;47.41631,19.133215
Budapest - Erzsébet utca        ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1238;Budapest;Erzsébet utca        ;13114;47.511982,19.023048
Budapest - Hősök tere 21-27.       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;1239;Budapest;Hősök tere 21-27.       ;13115;47.399318,19.117425
Visegrád - Fő utca 75.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2025;Visegrád;Fő utca 75.      ;13116;47.789858,18.970987
Visegrád - Fő utca 75.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2025;Visegrád;Fő utca 75.      ;13117;47.78978,18.970788
Érd - Béke tér 91.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2030;Érd;Béke tér 91.      ;13118;47.377127,18.921938
Érd - Felső utca 43.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2030;Érd;Felső utca 43.      ;13119;47.19024,18.42508
Solymár - Pilisvörösvári utca 6.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2083;Solymár;Pilisvörösvári utca 6.      ;13120;47.593182,18.9378
Telki - Szajkó utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2089;Telki;Szajkó utca 2.      ;13121;47.54199,18.828503
Budakeszi - Fő utca 100.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2092;Budakeszi;Fő utca 100.      ;13122;47.513807,18.932797
Vácrátót - Kossuth utca (Petőfi tér 7.)    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2163;Vácrátót;Kossuth utca (Petőfi tér 7.)    ;13123;47.709865,19.233857
Vác - Dr. Csányi László körút 52.    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2600;Vác;Dr. Csányi László körút 52.    ;13124;47.78118,19.128726
Bicske - Kossuth Lajos Utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2060;Bicske;Kossuth Lajos Utca      ;13125;47.492385,18.634275
Dunaújváros - Szabadság út      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2400;Dunaújváros;Szabadság út      ;13126;46.965607,18.916568
Martonvásár - Kodály Zoltán utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2462;Martonvásár;Kodály Zoltán utca      ;13127;47.314804,18.786266
Kápolnásnyék - Vörösmarty utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2475;Kápolnásnyék;Vörösmarty utca 2.      ;13128;47.238657,18.673881
Velence - Velence Tópart utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2481;Velence;Velence Tópart utca      ;13129;47.228874,18.663354
Gárdony-Agárd - Fürdő tér 1.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2483;Gárdony-Agárd;Fürdő tér 1.      ;13130;47.195106,18.596197
Gárdony-Agárd - Szabadság utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2483;Gárdony-Agárd;Szabadság utca      ;13131;47.206704,18.62675
Tatabánya - Szent Borbála tér      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2800;Tatabánya;Szent Borbála tér      ;13132;47.581375,18.399647
Tatabánya - Jedlik Ányos út      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;2800;Tatabánya;Jedlik Ányos út      ;13133;47.584485,18.39477
